,industry,stock,Short_window,Long_window,Final_funds,Percentage_change,buy_and_hold
48,materials,CTVA,9,200,149707.4964756069,49.707496475606895,143031.82513396777
49,materials,FCX,20,50,148633.60178270267,48.63360178270267,154110.1454850578
50,materials,SCCO,21,30,145278.3579914598,45.27835799145981,142961.52201861254
51,materials,NUE,20,21,380885.05531298596,280.88505531298597,366087.80258092016
52,materials,DOW,21,30,114896.17717996887,14.896177179968873,114425.54238777763
53,materials,ALB,50,200,181338.28707303945,81.33828707303945,76616.4563304941
54,materials,NEM,5,30,76786.11831823057,-23.213881681769433,61216.49215036317
55,materials,FNV,7,100,121960.65697182984,21.96065697182984,83737.55386138859
56,materials,PPG,9,20,112615.48380402423,12.615483804024233,104394.27714008008
57,materials,IFF,100,200,99222.11557556487,-0.7778844244351348,84905.37057571854
58,materials,SQM,100,200,228065.20491016857,128.06520491016857,97140.90116140177
59,materials,DD,5,9,114753.88121049348,14.753881210493477,93738.9150477356
60,comms,GOOG,5,20,156806.62162404312,56.80662162404312,166111.175563477
61,comms,GOOGL,5,20,156552.72530211345,56.55272530211345,164970.1927960959
62,comms,META,30,40,155004.12069379113,55.00412069379114,176615.5967585598
63,comms,DIS,5,7,55232.419562592644,-44.767580437407354,54843.85232586019
64,comms,TMUS,21,40,132113.36558865316,32.11336558865317,122695.94188776803
65,comms,VZ,10,40,91243.58352822752,-8.756416471772479,86155.93623878743
66,comms,CMCSA,5,9,100376.2046343968,0.3762046343967959,96663.01224946688
67,comms,T,21,30,103715.8871544946,3.7158871544946015,102805.93217971709
68,comms,NFLX,100,200,97683.88376742923,-2.31611623257077,107990.67254473161
69,comms,CHTR,7,40,66674.91240748671,-33.325087592513285,49334.64862549925
70,comms,NTES,40,200,95521.61243271458,-4.478387567285419,106732.66692049688
71,comms,AMX,7,200,154774.84565667136,54.77484565667135,131995.66428893994
72,comms,RELX,40,50,187351.02214643496,87.35102214643497,179829.88202398972
73,comms,BIDU,100,200,54499.25542810613,-45.50074457189387,47412.36137851333
74,comms,BCE,5,21,112919.63050255254,12.919630502552536,108684.03444203097
75,comms,EA,50,100,106264.44623183415,6.264446231834155,99601.09904642607
76,comms,VOD,40,200,96805.28539246356,-3.194714607536443,65522.1104451259
77,comms,TU,100,200,106459.82108636542,6.459821086365423,103062.21700635247
78,conscycl,AMZN,40,50,106009.98254861688,6.009982548616885,107831.78504319451
79,conscycl,TSLA,50,100,110658.15604483722,10.658156044837218,77247.62701754709
80,conscycl,HD,40,50,149312.86781041903,49.31286781041903,145601.49500802625
81,conscycl,BABA,100,200,42568.391116910745,-57.43160888308926,31957.80121362995
82,conscycl,TM,5,7,138745.03302778472,38.74503302778473,132128.646459048
83,conscycl,MCD,40,50,153409.21260577804,53.409212605778045,151122.4455180079
84,conscycl,NKE,21,40,81800.09143819983,-18.19990856180017,74149.24690008911
85,conscycl,LOW,40,50,146480.17769272774,46.480177692727736,145079.363254313
